Company,Industry,Job Role,Salary (INR LPA),Location,Job Portal
MSCI,Financial Services,Power BI Developer,9.98,Kolkata,LinkedIn
JP Morgan,Banking,Cloud Engineer,12.36,Kolkata,Indeed
PwC,E-Commerce,Credit Analyst,4.6,Hyderabad,Naukri
Maruti Suzuki,IT,Credit Analyst,9.2,Mumbai,Naukri
Ola,E-Commerce,Financial Analyst,10.58,Chennai,Naukri
Bosch,IT Services,Consultant,6.64,Delhi,Indeed
L&T Infotech,Consulting,Credit Analyst,13,Mumbai,Company Career Page
Ola,Banking,Software Engineer,13.33,Chennai,Company Career Page
Cognizant,IT Services,Software Engineer,14.52,Hyderabad,Naukri
Uber,IT Services,Data Analyst,12.6,Mumbai,LinkedIn
BYJU'S,IT,Business Analyst,3.08,Pune,Naukri
PwC,IT Services,Data Analyst,13.25,Noida,Company Career Page
Uber,Consulting,Data Analyst,9.06,Gurgaon,Naukri
Nestle India,IT Services,Cloud Engineer,13.66,Kolkata,Naukri
Paytm,Consulting,Financial Analyst,8.73,Kolkata,Naukri
Samsung India,Consulting,Software Developer,8.45,Hyderabad,Company Career Page
Tech Mahindra,Banking,Credit Analyst,8.93,Delhi,LinkedIn
Maruti Suzuki,E-Commerce,Financial Analyst,16.24,Bangalore,LinkedIn
Amazon,Consulting,Business Analyst,12.3,Chennai,Naukri
Paytm,IT,Financial Analyst,6.16,Bangalore,Naukri
HDFC Bank,IT,Business Analyst,15.06,Chennai,LinkedIn
KPMG,E-Commerce,Data Analyst,11.2,Pune,Company Career Page
Reliance Jio,IT Services,Software Developer,5.15,Noida,Naukri
Google,Banking,Credit Analyst,16.26,Noida,Company Career Page
Goldman Sachs,IT,Cybersecurity Analyst,9.28,Pune,Company Career Page
L&T Infotech,IT,Business Analyst,19.85,Chennai,LinkedIn
Samsung India,IT,Cybersecurity Analyst,15.35,Hyderabad,LinkedIn
Cognizant,Banking,Cloud Engineer,13.77,Mumbai,LinkedIn
Accenture,IT,Credit Analyst,10.04,Gurgaon,Naukri
Nestle India,Banking,Consultant,12.61,Delhi,Company Career Page
L&T Infotech,IT,Credit Analyst,7.28,Bangalore,Naukri
Swiggy,Consulting,Data Analyst,12.74,Noida,Company Career Page
Maruti Suzuki,IT Services,Software Developer,7.99,Kolkata,Indeed
Wipro,IT,Cybersecurity Analyst,12.86,Hyderabad,Company Career Page
Microsoft,IT,Software Engineer,5.73,Pune,Indeed
